TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
AMD,Jan-31,2,-63,-31.5,39.3%,1%,https://www.estimize.com/users/analyst_696886
PINS,Feb-2,2,-30,-15,47.3%,29%,https://www.estimize.com/users/analyst_696886
AMZN,Feb-2,1,20,20,13.8%,75%,https://www.estimize.com/users/analyst_696886
NFLX,Jan-17,1,16,16,2.2%,72%,https://www.estimize.com/users/analyst_696886
SGMO,Mar-2,1,-7,-7,32.3%,59%,https://www.estimize.com/users/analyst_696886
KR,Dec-1,1,-16,-16,15.2%,2%,https://www.estimize.com/users/analyst_696886
NVDA,Feb-16,1,23,23,4.3%,59%,https://www.estimize.com/users/analyst_696886
V,Feb-2,1,26,26,2.1%,68%,https://www.estimize.com/users/analyst_696886
MSFT,Jan-24,1,16,16,4.9%,42%,https://www.estimize.com/users/analyst_696886
NEE,Jan-27,1,22,22,40.7%,54%,https://www.estimize.com/users/analyst_696886
